rank,organization,Categorization,treasury,last 24hrs,top treasury tokens,main treasury chain,governance token holders,active members,proposals,votes,launch date
133,Aragon One,Service and Social,$21.3k,-1.30%,"DAI,ETH,USDC,ULT,SAI",Ethereum,13,12,194,294,11-14-2018
134,Raid Guild War Chest,Investment and Grant,$21k,-3.90%,"WETH,DAI,ETH",Ethereum,97,90,188,225,04-09-2020
135,flamingo,Investment and Grant,$20.9k,-4.50%,"WETH,ZENIQ,ETH",Ethereum,0,0,0,0,10-08-2020
136,Trojan DAO,Media,$20.4k,-4.30%,"WETH,ETH",Ethereum,19,7,35,43,09-15-2019
137,1HiveLLC,Protocol ,$19.1k,-0.20%,"DAI,USDC,ETH,ANT,SAI",Ethereum,19,5,108,124,12-11-2019
138,Meta Gamma Delta,Service and Social,$18.1k,-0.20%,"DAI,ETH",Ethereum,102,61,118,336,02-14-2020
139,SOCEAN,Protocol ,$15.6k,-4.30%,"scnSOL,SOL",Solana,0,3,8,24,09-14-2021
140,Governor DAO,Service and Social,$15k,-9.50%,"UNI-V2,USDC,GDAO,ETH,WETH",Ethereum,2k,135,65,406,12-21-2020
141,Monke,Service and Social,$15k,-0.70%,"DAOJONES,USDC,SOL,SHDW,LUNA",Solana,0,16,108,752,12-17-2021
142,elimu.ai,Service and Social,$13.3k,-5.30%,"ANT,GTC,ETH,ENS,aDAI",Ethereum,0,0,29,56,06-19-2020
143,DAO Masters,Media,$12.5k,-4.60%,"ETH,ENS,DAI,USDC,MATIC",Ethereum,322,77,10,218,10-13-2021
144,Cyber Congress,Protocol ,$12.2k,-4.50%,ETH,Ethereum,78,8,16,21,04-10-2020
145,FiatLuxDAO,Service and Social,$12.2k,-4.60%,ETH,Ethereum,0,0,0,0,06-07-2021
146,MetaCartel v2,Investment and Grant,$11.9k,-0.80%,"DAI,WETH,ETH",Ethereum,119,40,157,191,05-28-2020
147,lexDAO,Service and Social,$11.3k,-1.00%,"UNI,ETH,DAI,CHAI,HAUS",Ethereum,42,25,88,304,11-13-2019
148,Alphr DAO,Protocol ,$10.9k,9.30%,"ALPHR,ETH",Ethereum,46,46,8,132,07-28-2021
149,HausDAO,Investment and Grant,$10.1k,-0.10%,"DAI,ETH",Ethereum,45,44,57,53,07-25-2020
150,Jenny Metaverse DAO,Investment and Grant,$9.9k,-4.20%,"akSwap.io,A68.net,WxFi.io,ETH,LOOKS",Ethereum,791,112,42,306,05-17-2021
151,MarsDao,Investment and Grant,$9.8k,-2.30%,"ETH,DAI,UNI,CRV,SUSHI",Ethereum,73,13,219,133,11-8-2019
152,XDAO,Protocol ,$8.2k,4.90%,"HAUS,esr,ETH",Ethereum,11,2,7,7,04-13-2021
153,Rocket LP DAO,Service and Social,$7.5k,-4.50%,"WETH,dca,ETH",Ethereum,22,7,29,39,01-16-2020
154,Congruent,Investment and Grant,$7.2k,0.10%,"USDC,MTA,DAI,FXS,BUSD",Ethereum,965,615,8,1.5k,02-17-2022
155,Arca,Service and Social,$7k,-0.10%,"DAI,ETH",Ethereum,26,21,59,342,01-23-2020
156,Burn Signal,Service and Social,$6.4k,-2.10%,"DAI,WETH,DATA,USDC,PAN",Ethereum,0,0,0,0,
157,Keytree,Service and Social,$5.9k,-4.50%,ETH,Ethereum,3,3,5,5,07-27-2019
158,Futhorc Ecosystems,Investment and Grant,$5.8k,-4%,"SAI,ETH,WBTC,LPT,NPXS",Ethereum,6,6,20,42,04-07-2019
159,Buyback CC1,Service and Social,$5.5k,4.90%,"HAUS,LEVIN,esr,ETH",Ethereum,15,14,16,17,03-11-2021
160,0x06Bdd90Cc7122D4531ab7CbB3C22D265Cb112ABD,Service and Social,$5k,-0.90%,"DAI,ETH,SAI",Ethereum,12,12,10,8,01-20-2020
161,TYAN Intergalactic,Service and Social,$4.4k,-4.40%,"LEVIN,XGT,ETH",Ethereum,34,28,49,94,09-05-2020
162,Srt,Service and Social,$4k,-4.50%,ETH,Ethereum,4,3,3,4,04-23-2020
163,PegzDAO,Service and Social,$3.6k,-4.30%,"WETH,ETH",Ethereum,47,3,2,2,10-01-2021
164,DAOhaus Second Story CCO,Investment and Grant,$3.5k,4.30%,"HAUS,LEVIN,esr,ETH",Ethereum,372,368,386,268,03-15-2021
165,Urza,Investment and Grant,$3.5k,-4.50%,"WETH,ETH",Ethereum,5,5,4,3,06-19-2020
166,Arweavers,Protocol ,$3.5k,-0.10%,"DAI,ETH",Ethereum,5,5,5,8,05-26-2020
167,Copernicus Beer,Service and Social,$3.4k,-4.30%,"WETH,ETH",Ethereum,21,17,8,55,05-11-2022
168,Marketing DAO,Service and Social,$3.4k,-4.60%,"WETH,ETH",Ethereum,12,3,10,11,01-20-2020
169,Betacolony,Investment and Grant,$3.3k,-0.10%,"DAI,ETH",Ethereum,0,0,0,0,
170,brightiddev,Service and Social,$3.2k,-0.10%,"DAI,TUSD,cSAI,ETH",Ethereum,4,4,68,27,09-27-2019
171,Curio,Protocol ,$3.1k,14.70%,"CUR,ETH",Ethereum,236,29,52,138,03-21-2020
172,STAKEhaus,Protocol ,$3k,0.70%,"STAKE,LEVIN,ETH",Ethereum,28,23,34,41,09-09-2020
173,BrightID,Service and Social,$3k,-3.30%,"ETH,SAI,USDC,DAI,UNI",Ethereum,17,15,104,496,07-12-2019
174,Metafam,Service and Social,$2.5k,-4.30%,"SEED,ETH",Ethereum,687,25,36,63,06-15-2020
175,array.finance CCO,Investment and Grant,$2.4k,-2.10%,"HAUS,esr,LEVIN,XGT,ETH",Ethereum,97,92,122,123,01-19-2021
176,MetaCartel Ventures China,Investment and Grant,$2.1k,-0.20%,"DAI,ETH",Ethereum,17,17,19,32,06-27-2020
177,Status,Protocol ,$1.9k,-4.10%,"ETH,DAI,SNT,GTC",Ethereum,4,2,13,7,06-24-2020
